,genres,norm_per_year,production_companies,total_films,year
7102,Drama,0.0,Columbia Pictures,0,1968
7106,Drama,0.0,Metro-Goldwyn-Mayer (MGM),0,1968
7105,Drama,0.0,New Line Cinema,0,1968
16,Drama,1.0,Paramount Pictures,1,1968
7108,Drama,0.0,Relativity Media,0,1968
7109,Drama,0.0,Touchstone Pictures,0,1968
7100,Drama,0.0,Twentieth Century Fox Film Corporation,0,1968
7107,Drama,0.0,Universal Pictures,0,1968
7101,Drama,0.0,Walt Disney Pictures,0,1968
7103,Drama,0.0,Warner Bros.,0,1968
7122,Family,0.0,Columbia Pictures,0,1968
7126,Family,0.0,Metro-Goldwyn-Mayer (MGM),0,1968
7125,Family,0.0,New Line Cinema,0,1968
7124,Family,0.0,Paramount Pictures,0,1968
7128,Family,0.0,Relativity Media,0,1968
7129,Family,0.0,Touchstone Pictures,0,1968
7120,Family,0.0,Twentieth Century Fox Film Corporation,0,1968
7127,Family,0.0,Universal Pictures,0,1968
7121,Family,0.0,Walt Disney Pictures,0,1968
7123,Family,0.0,Warner Bros.,0,1968
7072,Fantasy,0.0,Columbia Pictures,0,1968
7076,Fantasy,0.0,Metro-Goldwyn-Mayer (MGM),0,1968
7075,Fantasy,0.0,New Line Cinema,0,1968
7074,Fantasy,0.0,Paramount Pictures,0,1968
7078,Fantasy,0.0,Relativity Media,0,1968
7079,Fantasy,0.0,Touchstone Pictures,0,1968
7070,Fantasy,0.0,Twentieth Century Fox Film Corporation,0,1968
7077,Fantasy,0.0,Universal Pictures,0,1968
7071,Fantasy,0.0,Walt Disney Pictures,0,1968
